#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/p2at_met_local.txt /home/point_clouds_registration_benchmark//planetary/p2at_met -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
27844314100055;0.956315;0.794501;14;0.999163 -0.00335733 0.0407743 0.0474056 0.00587603 0.998071 -0.0618101 0.304204 -0.0404881 0.0619979 0.997255 0.291313 0 0 0 1 
27844314100056;1.36899;0.977063;15;0.99795 -0.0222479 0.0600146 0.221282 0.0296908 0.991569 -0.126129 -0.273203 -0.0567025 0.127652 0.990197 0.0308605 0 0 0 1 
27844314100057;0.0905846;0.0647608;14;0.990783 -0.00613968 0.135317 -0.0307489 0.00692388 0.999962 -0.00532546 -0.0462196 -0.135279 0.0062133 0.990788 -1.64492 0 0 0 1 
27844314100058;0.707405;0.164203;14;0.999657 0.0233371 0.0119158 0.0789482 -0.0233106 0.999726 -0.00235356 0.00204561 -0.0119674 0.00207499 0.999926 -1.48793 0 0 0 1 
27844314100059;0.65531;0.2899;15;0.892541 0.0009559 0.450965 -0.92723 -0.0568253 0.992265 0.110364 -0.789942 -0.447372 -0.124131 0.885692 -6.19294 0 0 0 1 
27844314100060;1.27536;0.404559;15;0.981533 0.0201848 0.190226 0.00920012 -0.00887158 0.998151 -0.0601376 -0.817717 -0.191088 0.0573395 0.979897 -4.85222 0 0 0 1 
27844314100062;0.6633;0.479743;14;0.999952 -0.00979341 -0.000724362 -0.288908 0.00976181 0.999331 -0.035237 0.0399704 0.00106897 0.0352282 0.999379 0.526323 0 0 0 1 
27844314100063;1.6099;0.093184;15;0.994354 0.0117167 -0.105461 0.364712 -0.0129676 0.999853 -0.0111826 -0.142335 0.105315 0.012487 0.994361 -0.402198 0 0 0 1 
27844314100064;1.94982;1.73453;14;0.99858 0.00527116 0.0530086 0.282952 -0.00279095 0.998903 -0.0467545 0.0432127 -0.0531969 0.0465402 0.997499 1.35225 0 0 0 1 
27844314100065;1.77485;0.745517;15;0.989281 0.0258431 0.143717 1.01153 -0.0806246 0.917261 0.390041 -3.05707 -0.121746 -0.397447 0.909513 -15.9532 0 0 0 1 
27844314100066;1.08018;0.543999;15;0.997308 0.0198117 0.0705935 0.922883 -0.0237178 0.998208 0.0549311 -0.283095 -0.0693787 -0.0564576 0.995992 -3.91386 0 0 0 1 
27844314100067;1.0783;0.493005;14;0.999446 -0.0074099 0.0324349 -0.24052 0.00696788 0.999882 0.0137198 0.22665 -0.0325327 -0.0134862 0.99938 0.36068 0 0 0 1 
27844314100068;0.329721;0.287058;14;0.99978 0.0191996 0.00845029 0.627697 -0.0194057 0.999498 0.0250256 -0.142435 -0.00796557 -0.0251841 0.999651 -1.03314 0 0 0 1 
27844314100069;0.992581;0.791679;16;0.917698 -0.0150847 0.396992 -0.242026 0.043115 0.997158 -0.0617763 0.280508 -0.394932 0.0738083 0.915741 -4.05353 0 0 0 1 
27844314100070;1.68809;1.12045;15;0.99974 0.00741629 -0.0215658 0.0224994 -0.0069095 0.9997 0.0234803 -0.0487762 0.0217335 -0.0233252 0.999492 1.29759 0 0 0 1 
27844314100071;2.20263;0.945188;15;0.986925 0.0369194 -0.156893 0.928987 0.00429688 0.96704 0.254588 -0.585709 0.161121 -0.251934 0.954238 -8.14274 0 0 0 1 
27844314100072;0.844195;0.208511;15;0.918785 -0.0245488 -0.393994 -3.15088 -0.0275598 0.99164 -0.126056 -1.08322 0.393795 0.126676 0.910428 9.99429 0 0 0 1 
27844314100073;1.02691;0.499624;15;0.999394 0.00853698 0.0337344 0.115506 -0.0139666 0.986335 0.164159 0.16939 -0.031872 -0.16453 0.985857 -4.34819 0 0 0 1 
27844314100074;0.384882;0.333692;15;0.998287 0.00471127 0.0583096 0.258983 -0.0144369 0.985763 0.16752 -0.116968 -0.0566903 -0.168075 0.984143 -6.12347 0 0 0 1 
27844314100075;1.31596;0.594729;16;0.997815 0.00534694 -0.0658562 0.20128 -0.00738459 0.9995 -0.0307364 -0.14179 0.065659 0.0311556 0.997356 0.251085 0 0 0 1 
27844314100076;1.20785;1.17359;14;0.999909 -0.00263549 0.0132669 -0.0586824 0.00238504 0.999819 0.0188584 0.135268 -0.0133142 -0.018825 0.999734 -0.759896 0 0 0 1 
27844314100077;1.66098;0.435063;15;0.997955 0.0245869 -0.0589972 0.862149 -0.019643 0.996359 0.0829623 -0.337071 0.0608222 -0.0816338 0.994805 -3.82337 0 0 0 1 
27844314100078;1.89852;1.61255;14;0.999995 -0.000981306 -0.00294983 0.0370646 0.000963357 0.999981 -0.00607991 0.191185 0.00295574 0.00607704 0.999977 -0.81265 0 0 0 1 
27844314100079;1.7021;1.50365;14;0.996532 0.00487242 0.0830698 0.416298 -0.0143529 0.993387 0.113916 -0.115325 -0.0819654 -0.114713 0.990011 -3.88738 0 0 0 1 
27844314100080;1.10438;0.477102;15;0.972182 -0.013114 0.233861 -0.227011 -0.00549121 0.996881 0.0787283 -0.0138329 -0.234164 -0.0778224 0.969077 -6.93593 0 0 0 1 
27844314100081;0.430079;0.369058;13;0.999951 -0.00992255 0.00065452 -0.386821 0.0099287 0.999899 -0.0101676 0.151145 -0.000553565 0.0101736 0.999948 0.309283 0 0 0 1 
