#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam3_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam3 -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
39885980090072;0.398606;0.36085;14;0.999202 -0.0144214 0.0372487 0.000814925 0.00598874 0.976095 0.217262 -0.0194783 -0.0394915 -0.216865 0.975402 0.380664 0 0 0 1 
39885980090073;0.928997;0.581487;24;0.953388 0.105949 -0.282535 0.0808566 -0.0986311 0.994318 0.0400429 0.488816 0.285172 -0.0103097 0.958421 -0.438151 0 0 0 1 
39885980090074;0.42064;0.256285;16;0.914051 0.00854046 0.40551 0.136261 0.0255617 0.996578 -0.078607 -0.0708274 -0.404794 0.0822163 0.910704 1.03574 0 0 0 1 
39885980090075;0.428471;0.203067;15;0.944818 0.0693928 0.320161 -0.0473239 -0.126152 0.979008 0.16009 0.390494 -0.302331 -0.191644 0.933739 1.18094 0 0 0 1 
39885980090076;0.878954;0.656048;14;0.992697 -0.0333191 0.115939 0.119589 0.0333311 0.999443 0.00183543 -0.133466 -0.115935 0.00204234 0.993255 0.714123 0 0 0 1 
39885980090077;0.395145;0.207716;39;0.962322 0.268144 -0.045118 -0.358253 -0.271713 0.941912 -0.197419 0.715208 -0.0104397 0.20224 0.97928 -0.197067 0 0 0 1 
39885980090078;1.1758;0.0836151;18;0.999293 -0.0279213 0.0251776 -0.0967555 0.0291512 0.99833 -0.0498835 -0.0604088 -0.0237428 0.0505822 0.998438 -0.968498 0 0 0 1 
39885980090079;1.02505;0.761479;14;0.963087 -0.0111688 -0.268959 -0.0806809 -0.0596778 0.965418 -0.253784 0.146176 0.262493 0.260467 0.929115 -0.51072 0 0 0 1 
39885980090080;0.475546;0.0551524;15;0.998948 -0.0457989 -0.00246669 0.086585 0.0457512 0.998812 -0.016796 -0.157376 0.003233 0.0166655 0.999856 -0.406057 0 0 0 1 
39885980090081;0.321616;0.0974649;16;0.945715 0.00974899 0.324851 0.127301 -0.000600268 0.999601 -0.0282511 0.0181887 -0.324997 0.0265225 0.945343 0.946327 0 0 0 1 
39885980090082;1.0641;0.407088;18;0.973185 0.0348739 0.227365 -0.318654 -0.0431263 0.998575 0.0314282 0.0347412 -0.225945 -0.0403909 0.973302 -0.0360668 0 0 0 1 
39885980090083;0.893927;0.173068;16;0.950222 -0.0128508 0.31131 -0.14837 -0.0944339 0.940274 0.327059 -0.0404399 -0.296919 -0.340176 0.892255 0.773435 0 0 0 1 
39885980090084;0.543877;0.483662;27;0.99511 0.0316544 -0.0935619 0.0550085 -0.045891 0.986978 -0.15417 -0.381996 0.0874634 0.15771 0.983605 -0.329479 0 0 0 1 
39885980090085;0.738131;0.739457;16;0.885373 -0.00284333 0.464873 0.119162 -0.026824 0.998003 0.0571917 -0.153458 -0.464107 -0.0631057 0.883528 0.975276 0 0 0 1 
39885980090086;0.60161;0.0555169;15;0.999177 0.0397499 0.00808566 -0.048009 -0.0400567 0.998307 0.0421815 0.0952771 -0.00639525 -0.0424707 0.999077 0.584483 0 0 0 1 
39885980090087;0.217577;0.142459;14;0.999579 0.0102396 -0.0271504 -0.0308578 -0.00954897 0.999631 0.0254471 -0.0760402 0.027401 -0.0251772 0.999307 -0.107762 0 0 0 1 
39885980090088;0.201974;0.126303;15;0.999182 -0.00400275 0.0402373 0.00170879 0.0129178 0.974542 -0.223833 0.0397245 -0.038317 0.224169 0.973797 -0.235701 0 0 0 1 
39885980090089;0.645809;0.278424;17;0.913424 0.0527159 -0.403581 0.231568 -0.0133895 0.994932 0.099654 -0.106834 0.406789 -0.0856226 0.909501 -1.32943 0 0 0 1 
39885980090090;0.450371;0.419809;18;0.963468 0.0411645 0.26464 -0.107655 -0.0562382 0.997183 0.049634 -0.0353645 -0.261852 -0.0627037 0.963069 0.933401 0 0 0 1 
39885980090091;0.498519;0.156699;23;0.995943 0.0504855 -0.0744913 0.0125184 -0.0425837 0.993655 0.104096 -0.0212225 0.0792741 -0.100502 0.991774 0.308639 0 0 0 1 
39885980090093;0.227552;0.214886;26;0.980075 0.0135925 0.198161 -0.19046 -0.0235553 0.998569 0.0480058 0.22944 -0.197225 -0.051717 0.978993 0.471592 0 0 0 1 
39885980090094;0.336698;0.266048;21;0.977238 -0.162435 0.136459 0.56756 0.168148 0.985263 -0.0313579 0.0120504 -0.129354 0.0535895 0.990149 -0.163119 0 0 0 1 
39885980090095;0.148785;0.170092;28;0.986871 -0.00337161 -0.161476 -0.0479588 -0.00716786 0.997883 -0.0646425 0.178896 0.161352 0.0649513 0.984757 -0.206111 0 0 0 1 
39885980090096;0.662123;0.408129;23;0.974074 0.10953 -0.197947 -0.192036 -0.0495442 0.957023 0.285749 0.111377 0.220738 -0.268534 0.937638 0.19506 0 0 0 1 
39885980090097;0.657715;0.437468;35;0.966843 0.0499107 0.250446 -0.337256 -0.0691129 0.995257 0.0684671 -0.376245 -0.245841 -0.083506 0.965706 0.327311 0 0 0 1 
39885980090098;0.630821;0.254335;27;0.999857 0.0165911 -0.00337669 -0.277667 -0.016809 0.948768 -0.315526 -0.0427616 -0.00203124 0.315537 0.948911 -0.299974 0 0 0 1 
39885980090099;0.628543;0.329974;32;0.941713 -0.177752 0.285625 0.604439 0.18604 0.98254 -0.00191879 0.68299 -0.280297 0.0549446 0.95834 0.514995 0 0 0 1 
39885980090100;0.425699;0.332541;29;0.950617 0.267619 0.157183 -1.28932 -0.239671 0.954755 -0.176068 0.792915 -0.197191 0.129701 0.971748 -0.548358 0 0 0 1 
39885980090101;0.696606;0.468418;17;0.999685 -0.00388054 -0.0247995 -0.037604 0.00879047 0.979536 0.201076 -0.111656 0.0235117 -0.20123 0.979262 1.11975 0 0 0 1 
39885980090102;0.122477;0.0910307;13;0.999428 0.0332043 0.0064426 -0.237525 -0.0332671 0.999397 0.00990296 0.157747 -0.0061099 -0.0101116 0.99993 0.103333 0 0 0 1 
39885980090103;0.717527;0.134966;36;0.901679 0.38428 0.198251 -2.13247 -0.368088 0.922722 -0.114435 0.464106 -0.226906 0.0302102 0.973448 0.253045 0 0 0 1 
39885980090104;0.685443;0.503456;31;0.978444 0.205945 0.0153 -1.00255 -0.206427 0.977484 0.0437288 -0.418309 -0.00594982 -0.0459445 0.998926 -0.0372141 0 0 0 1 
