#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_summer_local.txt /home/point_clouds_registration_benchmark//eth/wood_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
2318808360045;0.469606;0.00822415;49;0.923988 0.243362 -0.294994 -1.8854 -0.324588 0.906954 -0.268471 4.0564 0.20221 0.343816 0.917007 -4.86033 0 0 0 1 
2318808360046;0.276896;0.0110966;20;0.99913 0.0185742 0.0373331 -0.0334859 -0.0182687 0.999797 -0.00850699 -0.333792 -0.0374835 0.00781756 0.999267 0.0482586 0 0 0 1 
2318808360047;0.219223;0.0145752;26;0.963841 -0.1347 -0.229927 2.00742 0.130022 0.990877 -0.0354517 -0.798701 0.232604 0.00427434 0.972562 -1.99827 0 0 0 1 
2318808360048;0.2746;0.011919;32;0.947888 -0.0250231 0.317619 0.197482 0.00445996 0.997855 0.0653046 -0.0216975 -0.318572 -0.0604849 0.945967 3.3051 0 0 0 1 
2318808360049;0.475244;0.0133161;34;0.919596 -0.301585 -0.251772 4.54987 0.319493 0.94703 0.0325465 -2.17259 0.22862 -0.110369 0.967239 -1.17935 0 0 0 1 
2318808360050;0.266943;0.0107211;30;0.953515 -0.301302 -0.00504917 3.7013 0.301325 0.953511 0.00452399 -2.06818 0.00345135 -0.00583514 0.999977 -0.15426 0 0 0 1 
2318808360051;0.316495;0.011914;30;0.974926 -0.0591121 0.214536 0.613145 0.028767 0.989462 0.141904 -0.417567 -0.220664 -0.132174 0.966353 3.79875 0 0 0 1 
2318808360052;0.442125;0.345103;20;0.97482 0.180842 0.130471 -1.78684 -0.169372 0.98103 -0.0943051 1.83193 -0.145051 0.0698323 0.986957 0.616454 0 0 0 1 
2318808360053;0.502153;0.0178598;24;0.999286 -0.0340938 0.0162754 1.06486 0.0317301 0.991233 0.128258 -0.466134 -0.0205055 -0.12765 0.991607 2.24755 0 0 0 1 
2318808360054;0.189299;0.0105852;29;0.967288 -0.253158 -0.0162563 3.06247 0.251016 0.964429 -0.0828711 -1.62262 0.0366575 0.0760797 0.996428 -1.15355 0 0 0 1 
2318808360055;0.56348;0.0161831;31;0.951923 0.138319 -0.273332 -0.140079 -0.170272 0.980636 -0.0967519 2.36646 0.254657 0.138641 0.957042 -3.57682 0 0 0 1 
2318808360056;0.0419399;0.0125881;16;0.998706 0.0493327 -0.0123459 -0.51397 -0.0492573 0.998766 0.00634142 0.372267 0.0126435 -0.00572509 0.999904 -0.0321279 0 0 0 1 
2318808360057;0.467263;0.0114317;24;0.997472 -0.071026 -0.00238017 0.932534 0.0709326 0.997093 -0.0278282 -1.31762 0.00434977 0.027589 0.99961 -0.836679 0 0 0 1 
2318808360058;0.291617;0.0119625;24;0.999905 0.0052581 0.0127072 -0.0300302 -0.0069572 0.990463 0.137606 0.513479 -0.0118625 -0.137682 0.990405 1.84218 0 0 0 1 
2318808360059;0.25976;0.00784401;24;0.975635 0.0230922 -0.218181 0.420629 -0.039562 0.996661 -0.0714225 0.462052 0.215803 0.0783139 0.973291 -2.34794 0 0 0 1 
2318808360060;0.11731;0.00718596;20;0.991449 0.0996075 0.0843059 -1.1533 -0.0952347 0.993967 -0.054401 0.947452 -0.0892161 0.045907 0.994954 0.249167 0 0 0 1 
2318808360062;0.468711;0.00833695;52;0.913556 0.401965 -0.0619568 -1.0462 -0.363246 0.874921 0.320259 2.16075 0.18294 -0.270069 0.945302 0.306572 0 0 0 1 
2318808360063;0.468392;0.011426;25;0.992547 -0.120645 0.0172045 -0.423471 0.118066 0.986946 0.109537 -1.16239 -0.0301951 -0.10669 0.993834 -0.0255668 0 0 0 1 
2318808360064;0.317402;0.0120072;35;0.946319 0.323168 0.0065335 -0.536939 -0.323132 0.946335 -0.00601973 1.9948 -0.00812826 0.0035854 0.999961 -0.357085 0 0 0 1 
2318808360065;0.263432;0.0114012;34;0.973303 -0.216525 0.0761408 0.752406 0.207805 0.972164 0.108232 -1.51177 -0.0974563 -0.0895199 0.991206 1.06686 0 0 0 1 
2318808360066;0.238324;0.0132436;18;0.999436 -0.0335085 0.00229344 -0.363073 0.033467 0.999308 0.0162138 -0.437119 -0.00283515 -0.0161279 0.999866 0.176627 0 0 0 1 
2318808360067;0.429905;0.00657717;25;0.993082 0.0990683 -0.0630424 0.734211 -0.095178 0.993529 0.0619841 0.612608 0.0687751 -0.055555 0.996084 -0.515892 0 0 0 1 
2318808360068;0.55967;0.0128197;45;0.885513 -0.145803 -0.441144 2.02516 0.225549 0.964999 0.133805 -1.51097 0.406195 -0.217986 0.887405 -2.22003 0 0 0 1 
2318808360069;0.324897;0.00996829;21;0.99745 0.0645618 0.0304068 0.180081 -0.065077 0.997748 0.0162693 0.101628 -0.0292879 -0.0182066 0.999405 -0.367368 0 0 0 1 
