#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/pioneer_slam_local.txt /home/point_clouds_registration_benchmark//tum/pioneer_slam -s 0.1 -t 0.1 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
1807261650106;0.708535;0.33458;17;0.997876 -0.0430729 0.0488745 -0.180733 0.0436327 0.998993 -0.0104434 -0.316514 -0.0483755 0.0125537 0.99875 0.211836 0 0 0 1 
1807261650107;0.503291;0.330851;17;0.998245 -0.00806169 -0.0586758 0.168365 0.0112037 0.998509 0.0534188 -0.132931 0.0581577 -0.0539824 0.996847 0.234372 0 0 0 1 
1807261650108;1.52224;0.270934;23;0.948435 -0.214844 0.233051 0.074403 0.244128 0.964067 -0.104768 0.645265 -0.202168 0.15626 0.966804 -0.31654 0 0 0 1 
1807261650109;0.339127;0.187933;16;0.908368 -0.125196 0.398991 -0.0653648 0.0907941 0.990417 0.104067 -0.0651081 -0.408196 -0.0583053 0.91103 0.238762 0 0 0 1 
1807261650110;0.998065;0.152227;25;0.950101 -0.246513 0.191153 0.0527237 0.220762 0.964293 0.146297 -0.202551 -0.220392 -0.0967973 0.970597 -0.516027 0 0 0 1 
1807261650111;0.873902;0.279234;17;0.968134 0.13229 0.212642 0.189882 -0.143039 0.989065 0.0359198 -0.436135 -0.205565 -0.0651914 0.97647 0.42725 0 0 0 1 
1807261650112;0.213542;0.188818;21;0.997809 -0.0419804 -0.0511388 0.119874 0.0466406 0.994514 0.093632 -0.140853 0.0469275 -0.095812 0.994293 -0.166293 0 0 0 1 
1807261650113;1.08553;0.367309;21;0.971161 -0.221816 0.0874314 -0.171591 0.235263 0.95105 -0.200389 -0.67322 -0.0387022 0.215179 0.975807 -0.149362 0 0 0 1 
1807261650114;0.757919;0.444552;29;0.949739 0.305284 0.0692639 0.329701 -0.281259 0.929302 -0.239356 -0.0112741 -0.137439 0.207845 0.968458 0.540453 0 0 0 1 
1807261650115;1.40826;0.313006;24;0.968623 0.248378 0.00881219 -0.451715 -0.24853 0.967778 0.0404906 0.39425 0.00152874 -0.0414102 0.999141 0.250471 0 0 0 1 
1807261650116;0.547781;0.25153;18;0.985609 0.132926 0.104432 0.0966977 -0.146543 0.979829 0.135868 -0.172711 -0.0842647 -0.149216 0.985208 0.276494 0 0 0 1 
1807261650117;1.14474;0.221446;27;0.957498 0.278167 -0.0762978 -0.180453 -0.256166 0.941653 0.21833 0.383128 0.132578 -0.189506 0.972888 -0.409266 0 0 0 1 
1807261650118;1.22447;0.412554;26;0.950962 0.240314 -0.194733 -0.0578165 -0.278386 0.939365 -0.200236 0.0505617 0.134806 0.244628 0.9602 -0.526316 0 0 0 1 
1807261650119;1.49971;0.152517;22;0.983827 0.119874 -0.133096 0.140439 -0.133803 0.985832 -0.101158 0.621402 0.119084 0.11733 0.985927 -0.7389 0 0 0 1 
