#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/wood_autumn_local.txt /home/point_clouds_registration_benchmark//eth/wood_autumn -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -n 10 -i 100 
id;initial_error;final_error;transformation
26875431820081;0.390076;0.0139848;40;0.917447 0.397852 -0.00221165 0.704639 -0.387909 0.893254 -0.227208 2.00385 -0.0884195 0.209309 0.973844 0.730805 0 0 0 1 
26875431820082;0.269988;0.0148631;23;0.992125 0.123508 -0.0208112 -0.112621 -0.118829 0.9807 0.155262 0.0725362 0.0395857 -0.151566 0.987654 -0.324808 0 0 0 1 
26875431820083;0.397996;0.0120967;34;0.918555 -0.327337 0.221602 0.437516 0.325112 0.944481 0.047519 -1.53783 -0.224854 0.0283967 0.973979 1.39324 0 0 0 1 
26875431820084;0.431462;0.0166165;30;0.984664 0.0906801 -0.149043 0.416458 -0.134865 0.937579 -0.320557 0.959565 0.110671 0.335741 0.93543 0.455017 0 0 0 1 
26875431820085;0.0561572;0.0128457;15;0.99927 -0.0378742 0.00506074 -0.084448 0.0378857 0.99928 -0.00218403 -0.145066 -0.00497438 0.00237417 0.999985 0.0956738 0 0 0 1 
26875431820086;0.263745;0.0123862;29;0.973874 0.222434 0.0457364 0.337281 -0.224284 0.973691 0.0402788 0.597379 -0.0355738 -0.0494845 0.998141 -0.0454161 0 0 0 1 
26875431820087;0.254275;0.0103871;31;0.972552 -0.0892051 -0.214906 0.328166 0.12847 0.975918 0.176293 -0.806116 0.194005 -0.199063 0.960591 -1.15712 0 0 0 1 
26875431820088;0.2679;0.0117749;29;0.967259 0.253468 -0.0127948 0.467241 -0.253733 0.966887 -0.0273864 1.28004 0.00542951 0.0297362 0.999543 -0.250334 0 0 0 1 
26875431820089;0.093436;0.0131882;16;0.99931 0.0336458 -0.0157188 0.0717296 -0.0343458 0.998322 -0.0466182 0.342732 0.0141239 0.0471259 0.998789 0.0412743 0 0 0 1 
26875431820090;0.279476;0.0135069;19;0.999278 0.0376088 0.00546359 0.197988 -0.0374755 0.999039 -0.0227412 -0.253839 -0.00631361 0.02252 0.999726 0.453969 0 0 0 1 
