#;prob_registration_l1 -r /home/probabilistic_point_clouds_registration/build/tester /home/point_clouds_registration_benchmark//devel/registration_pairs/gazebo_summer_local.txt /home/point_clouds_registration_benchmark//eth/gazebo_summer -s 0.2 -t 0.2 -p 0.3 -r 1000 -m 10 -i 100 
id;initial_error;final_error;transformation
36535719080049;0.398366;1.12352;18;0.976803 -0.0924825 0.19314 -1.84806 0.0391255 0.963827 0.26364 -0.00600245 -0.210535 -0.249968 0.945088 0.661448 0 0 0 1 
36535719080050;0.499825;0.95139;26;0.930485 0.191852 -0.312073 -1.59561 -0.175261 0.981213 0.0806539 0.939456 0.321684 -0.0203531 0.946628 -2.04427 0 0 0 1 
36535719080051;0.440086;1.4778;27;0.976414 -0.15078 0.154538 -2.48882 0.166852 0.981212 -0.0968647 -0.243029 -0.137029 0.120365 0.983227 -0.223001 0 0 0 1 
36535719080052;0.307637;0.942358;17;0.981355 0.0148935 0.191628 -1.74878 -0.0581279 0.973304 0.222035 0.247168 -0.183205 -0.229034 0.956023 0.472136 0 0 0 1 
36535719080053;0.461332;1.25781;18;0.953132 -0.0558808 0.297349 -1.86847 0.0484791 0.998305 0.0322147 0.191275 -0.298645 -0.0162897 0.954225 1.1527 0 0 0 1 
36535719080054;0.521749;0.669398;14;0.950515 -0.0451032 0.307388 -0.860393 0.0026444 0.990545 0.137166 1.01291 -0.310668 -0.129566 0.941647 0.792722 0 0 0 1 
36535719080055;0.319357;1.3683;22;0.961068 -0.0226374 0.275385 -2.26975 0.0557938 0.992008 -0.11317 0.297857 -0.270622 0.124128 0.95465 0.403469 0 0 0 1 
36535719080056;0.611624;1.23682;19;0.977112 -0.0954974 0.190088 -2.1669 0.115511 0.988546 -0.0971317 0.214359 -0.178634 0.116866 0.97695 -0.586802 0 0 0 1 
36535719080057;0.403587;0.471229;10;0.996139 0.0747304 -0.0460765 -0.581664 -0.0796814 0.989915 -0.11713 0.215355 0.0368586 0.120349 0.992047 -0.500769 0 0 0 1 
36535719080058;0.354702;0.869075;15;0.963872 -0.0352274 0.264026 -1.23154 0.0718507 0.988859 -0.130366 0.121707 -0.256492 0.144626 0.955665 -0.0149713 0 0 0 1 
36535719080059;0.377989;0.549287;14;0.983736 0.109957 0.142029 -0.905663 -0.0838398 0.980396 -0.178309 1.1474 -0.158851 0.163501 0.97367 -0.218639 0 0 0 1 
36535719080060;0.383603;0.57914;13;0.994079 0.0814601 0.0719107 -0.764311 -0.0886139 0.990763 0.102649 0.842456 -0.0628847 -0.108413 0.992115 -0.231631 0 0 0 1 
